Name,County,Easting,Northing
Big Wall Lake WMA*,Wright,4719257.936,446531.0456
Burr Oak Lake WMA*,Emmet,4794316.015,358299.4135
D.U. Marsh*,Clay,4776231.619,341689.462
Dan Green Slough WMA*,Clay,4787540.99,337281.7631
Diamond Lake WMA*,Dickinson,4816667.521,322785.9458
Elk Lake WPA,Clay,4771795.272,343527.3337
Elm Lake WMA,Wright,4734891.408,444461.3856
Four Mile Lake*,Emmet,4806375.271,345450.7098
Garlock Slough WMA,Dickinson,4801787.249,323850.7572
Jemmerson Slough*,Dickinson,4810799.975,326970.5062
Jensen Slough,Emmet,4795817.267,363575.2044
Little Storm Lake*,Buena Vista,4723521.185,316444.2552
Little Swan Lake,Dickinson,4813759.066,342068.3223
Lizard Lake*,Pocahontas,4725515.492,377576.0201
Marble Lake*,Dickinson,4815713.571,327355.0411
McQuown's Slough*,Emmet,4795801.887,359315.4091
Meredith Marsh WMA*,Hancock,4788936.504,443067.8101
Morse Lake WMA,Wright,4743133.095,443387.0803
Pickerel Lake WMA*,Buena Vista,4752247.155,343082.4027
Pleasant Lake WMA,Dickinson,4807775.128,335758.0785
Prairie Lake WMA,Dickinson,4805171.122,332842.2627
Rice Lake WMA*,Winnebago,4804251.574,459675.6887
South Twin Lake WMA,Calhoun,4702356.785,364356.7264
Trumbull Lake*,Clay,4784100.356,341500.0201
Twelve Mile Lake WMA,Emmet,4794711.641,347814.8588
Ventura Marsh WMA*,Cerro Gordo and Hancock,4774129.812,459698.7008
Virgin Lake WMA*,Palo Alto,4773934.873,345631.4581
West Hottes Lake*,Dickinson,4816113.368,326586.0133
West Slough*,Emmet,4798505.06,362540.9858
West Swan Lake WMA,Emmet,4801869.743,364588.7058
